application_id,case_index,method_label,parameter_name,parameter_value,shots,success_probability,best_normalized_accuracy,ARG,best_ARG,precision_score,best_precision_score,precision_percent,best_precision_percent,approximation_ratio_gap,in_constraints_probs,best_solution_probs,mean_cost,best_cost,feasible_probability,best_feasible_probability,sampled_expected_objective,best_objective,optimizer,simulation_backend,problem_n,parameter_count,parameter_vector,noise_model,noise_single_qubit_error,noise_two_qubit_error,noise_readout_error
Func-7,1,method,cobyla_iteration,1,256,1.0,1.0,6.403408496854189,6.403408496854189,0.13507291951064349,0.13507291951064349,13.50729195106435,13.50729195106435,6.403408496854189,94.53125,4.6875,31.7180078125,-5.87,0.9453125,0.9453125,5.747851239669422,5.87,COBYLA,aer_noise,12,4,0.628318530718;0.628318530718;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,2,method,cobyla_iteration,2,256,1.0,1.0,6.398291109707481,6.398291109707481,0.13516634925163667,0.13516634925163667,13.516634925163668,13.516634925163668,6.398291109707481,94.53125,2.34375,31.687968750000003,-5.87,0.9453125,0.9453125,5.755702479338843,5.87,COBYLA,aer_noise,12,4,1.22831853072;0.628318530718;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,3,method,cobyla_iteration,3,256,1.0,1.0,7.459932668160021,7.459932668160021,0.11820425046213674,0.11820425046213674,11.820425046213675,11.820425046213675,7.459932668160021,94.140625,2.734375,37.9198046875,-5.87,0.94140625,0.94140625,5.761452282157677,5.87,COBYLA,aer_noise,12,4,1.22831853072;1.22831853072;0.628318530718;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,4,method,cobyla_iteration,4,256,1.0,1.0,9.573945927723926,9.573945927723926,0.09457207430748163,0.09457207430748163,9.457207430748163,9.457207430748163,9.573945927723926,93.359375,0.0,50.32906249999999,-5.87,0.93359375,0.93359375,5.772133891213389,5.82,COBYLA,aer_noise,12,4,1.22831853072;1.22831853072;1.22831853072;0.628318530718,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,5,method,cobyla_iteration,5,256,1.0,1.0,9.572934428573992,9.572934428573992,0.09458112189719438,0.09458112189719438,9.458112189719438,9.458112189719438,9.572934428573992,93.359375,1.171875,50.323125,-5.87,0.93359375,0.93359375,5.77765690376569,5.87,COBYLA,aer_noise,12,4,1.22831853072;1.22831853072;1.22831853072;1.22831853072,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,6,method,cobyla_iteration,6,256,1.0,1.0,9.574085674317011,9.574085674317011,0.09457082444762685,0.09457082444762685,9.457082444762685,9.457082444762685,9.574085674317011,93.359375,0.0,50.3298828125,-5.87,0.93359375,0.93359375,5.770627615062761,5.82,COBYLA,aer_noise,12,4,1.55914266556;1.58351918076;1.5330249707;1.40591885574,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,7,method,cobyla_iteration,7,256,1.0,1.0,8.510727229149449,8.510727229149449,0.10514443069454224,0.10514443069454224,10.514443069454224,10.514443069454224,8.510727229149449,93.75,1.5625,44.08796875,-5.87,0.9375,0.9375,5.785625,5.87,COBYLA,aer_noise,12,4,0.945371033324;1.29906921732;1.28901152167;1.26369387402,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,8,method,cobyla_iteration,8,256,1.0,1.0,8.509675802401492,8.509675802401492,0.10515605587179623,0.10515605587179623,10.515605587179623,10.515605587179623,8.509675802401492,93.75,0.0,44.081796875,-5.87,0.9375,0.9375,5.791874999999999,5.82,COBYLA,aer_noise,12,4,0.693110424458;1.19409111118;1.39603140164;1.32607117548,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,9,method,cobyla_iteration,9,256,1.0,1.0,7.4477946783608076,7.4477946783608076,0.11837408910535192,0.11837408910535192,11.837408910535192,11.837408910535192,7.4477946783608076,94.140625,0.0,37.8485546875,-5.87,0.94140625,0.94140625,5.798008298755186,5.819999999999999,COBYLA,aer_noise,12,4,0.129982928675;1.07840895556;1.49660730019;1.46531754346,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,10,method,cobyla_iteration,10,256,1.0,1.0,8.504165793874217,8.504165793874217,0.10521701974565055,0.10521701974565055,10.521701974565055,10.521701974565055,8.504165793874217,93.75,7.8125,44.049453125,-5.87,0.9375,0.9375,5.813749999999999,5.87,COBYLA,aer_noise,12,4,-0.291083766534;1.33544541243;1.17134674403;1.5694360751,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,11,method,cobyla_iteration,11,256,1.0,1.0,6.38789662502197,6.38789662502197,0.1353565230749322,0.1353565230749322,13.535652307493221,13.535652307493221,6.38789662502197,94.53125,8.203125,31.626953125,-5.87,0.9453125,0.9453125,5.80512396694215,5.87,COBYLA,aer_noise,12,4,-1.20601494309;1.75207170541;0.562009926082;1.8103346356,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,12,method,cobyla_iteration,12,256,1.0,1.0,8.508790740645297,8.508790740645297,0.1051658436151616,0.1051658436151616,10.51658436151616,10.51658436151616,8.508790740645297,93.75,0.0,44.076601562499995,-5.87,0.9375,0.9375,5.786041666666666,5.82,COBYLA,aer_noise,12,4,-0.586424498261;1.0097381009;1.57456213737;1.6335137309,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,13,method,cobyla_iteration,13,256,1.0,1.0,8.50449852385775,8.50449852385775,0.10521333634697785,0.10521333634697785,10.521333634697786,10.521333634697786,8.50449852385775,93.75,11.328125,44.05140625000001,-5.87,0.9375,0.9375,5.812083333333334,5.87,COBYLA,aer_noise,12,4,-0.295585344265;1.22044033572;1.07515127568;1.5694360751,depolarizing_readout,5e-05,0.0005,0.0001
Func-7,14,method,cobyla_iteration,14,256,1.0,1.0,7.972895829170181,7.972895829170181,0.1114467412793402,0.1114467412793402,11.144674127934021,11.144674127934021,7.972895829170181,94.140625,19.140625,40.930898437500005,-5.87,0.94140625,0.94140625,5.825394190871369,5.87,COBYLA,aer_noise,12,4,-0.358159318824;1.55535642995;0.979930487333;1.59179298305,depolarizing_readout,5e-05,0.0005,0.0001
